,iter,time,cond,fx,-loglk,||h||,||e||
0,1,30.6,39.07,13155.9,13042.0,89.4,1.0
1,2,51.5,6.62,8480.0,5046.0,89.5,3.8
2,3,74.7,2.53,8327.5,4960.0,89.5,3.7
3,4,99.2,0.57,8290.6,4866.1,89.6,3.8
4,5,125.1,0.43,8287.6,4851.3,89.6,3.8
5,6,153.2,0.58,8279.1,4832.3,89.7,3.8
6,7,185.5,1.07,8272.6,4808.4,90.1,3.8
7,8,215.2,2.08,8247.3,4754.4,91.3,3.8
8,9,244.4,3.57,8178.7,4664.6,94.6,3.8
9,10,276.0,5.29,8016.2,4467.3,103.4,3.8
10,11,305.6,6.53,7687.7,4183.3,124.0,3.8
11,12,335.9,5.87,7142.1,3765.5,162.7,3.7
12,13,368.5,3.73,6557.6,3412.8,208.7,3.4
13,14,400.6,1.44,6186.0,3477.5,228.4,3.1
14,15,431.2,0.45,6142.8,3471.7,227.6,3.1
15,16,459.4,0.17,6139.2,3497.9,225.8,3.1
16,17,485.1,0.09,6137.7,3505.6,224.9,3.1
17,18,516.5,0.08,6136.9,3513.6,224.3,3.1
18,19,543.8,0.12,6135.5,3516.3,223.9,3.1
19,20,573.5,0.20,6133.7,3521.2,223.4,3.1
20,21,606.2,0.41,6122.6,3535.5,222.5,3.0
21,22,635.0,0.72,6103.9,3537.4,221.5,3.0
22,23,659.3,1.01,6065.9,3557.6,221.5,3.0
23,24,685.9,1.39,5994.3,3536.1,225.7,3.0
24,25,710.2,1.04,5937.6,3478.4,233.0,2.9
25,26,735.1,0.30,5900.8,3451.1,236.4,2.9
26,27,760.9,0.15,5897.1,3432.6,238.2,2.9
27,28,786.8,0.17,5895.2,3434.2,239.4,2.9
28,29,814.9,0.20,5891.9,3429.7,241.5,2.9
29,30,846.2,0.24,5886.1,3409.2,248.3,2.9
30,31,890.4,0.32,5881.1,3397.2,252.6,2.9
31,32,922.8,0.06,5879.8,3387.4,252.9,2.9
