id,identity_to_query
hCoV_19AnhuiSZ0052020_EPI_ISL_413485_2020_01_24,1.000
hCoV_19USANY_NYUMC102020_EPI_ISL_418195_2020_03_17,0.000
hCoV_19Iceland3422020_EPI_ISL_417671_2020_03_15,0.262
hCoV_19pangolinGuangdong12019_EPI_ISL_410721_2019,0.096
hCoV_19WuhanWH022019_EPI_ISL_406799_2019_12_31,0.040
hCoV_19ChinaWF00062020_EPI_ISL_413695_2020_01,0.439
hCoV_19pangolinGuangxiP2V2017_EPI_ISL_410542_2017,0.082
hCoV_19pangolinGuangxiP1E2017_EPI_ISL_410539_2017,0.082
hCoV_19pangolinGuangxiP4L2017_EPI_ISL_410538_2017,0.082
hCoV_19pangolinGuangxiP5E2017_EPI_ISL_410541_2017,0.081
hCoV_19pangolinGuangxiP5L2017_EPI_ISL_410540_2017,0.082
hCoV_19ChinaWF00232020_EPI_ISL_413752_2020_02,0.222
hCoV_19USACA_CDPH_UC232020_EPI_ISL_417327_2020_03_09,0.099
hCoV_19GuangdongGD2020012_P00222020_EPI_ISL_413886_2020_02_01,0.079
hCoV_19USACA_CDPH_UC272020_EPI_ISL_417331_2020_03_13,0.104
hCoV_19GuangdongFS_S34_P00152020_EPI_ISL_413890_2020_02_28,0.087
hCoV_19GuangdongGD2020241_P00132020_EPI_ISL_413877_2020_02_09,0.097
hCoV_19Iceland852020_EPI_ISL_417869_2020_03_10,0.086
hCoV_19BelgiumULG_31622020_EPI_ISL_417005_2020_03_05,0.096
hCoV_19HenanIVDC_HeN_0022020_EPI_ISL_408487_2020_01_20,0.107
hCoV_19NetherlandsNoordBrabant_292020_EPI_ISL_414538_2020_03_08,0.102
hCoV_19BrazilRJ01182020_EPI_ISL_417984_2020_03_19,0.100
hCoV_19Iceland752020_EPI_ISL_417726_2020_03_09,0.102
hCoV_19BrazilSP01042020_EPI_ISL_417928_2020_03_13,0.102
hCoV_19BrazilSP01052020_EPI_ISL_417929_2020_03_13,0.104
hCoV_19BelgiumULG_41632020_EPI_ISL_417013_2020_03_09,0.104
hCoV_19BrazilMG01082020_EPI_ISL_417936_2020_03_15,0.104
hCoV_19SpainValencia12020_EPI_ISL_414495_2020_03_08,0.104
hCoV_19Switzerland421767532020_EPI_ISL_418284_2020_03_04,0.104
hCoV_19BrazilMG01122020_EPI_ISL_417949_2020_03_17,0.104
hCoV_19CanadaBC_650342020_EPI_ISL_415585_2020_03_04,0.104
hCoV_19BelgiumULG_69722020_EPI_ISL_417024_2020_03_15,0.104
hCoV_19BelgiumULG_29712020_EPI_ISL_416997_2020_03_05,0.104
hCoV_19BelgiumULG_67322020_EPI_ISL_418623_2020_03_14,0.104
hCoV_19CanadaBC_252112020_EPI_ISL_415579_2020_03_02,0.104
hCoV_19CanadaBC_785482020_EPI_ISL_415590_2020_03_05,0.104
hCoV_19CanadaBC_831632020_EPI_ISL_415589_2020_03_05,0.104
hCoV_19EnglandSHEF_BFD272020_EPI_ISL_416737_2020_03_03,0.104
hCoV_19Switzerland421691712020_EPI_ISL_418271_2020_02_27,0.104
hCoV_19Switzerland421703452020_EPI_ISL_418274_2020_02_28,0.104
hCoV_19Switzerland421747242020_EPI_ISL_418277_2020_03_03,0.104
hCoV_19Switzerland421752132020_EPI_ISL_418279_2020_03_03,0.104
hCoV_19Switzerland421767712020_EPI_ISL_418285_2020_03_04,0.104
hCoV_19Switzerland421772362020_EPI_ISL_418433_2020_03_05,0.104
hCoV_19Switzerland421774342020_EPI_ISL_418435_2020_03_05,0.104
hCoV_19Switzerland421787122020_EPI_ISL_418437_2020_03_06,0.104
hCoV_19Switzerland422026192020_EPI_ISL_418439_2020_03_22,0.104
hCoV_19Switzerland422026222020_EPI_ISL_418438_2020_03_22,0.104
hCoV_19Switzerland422028052020_EPI_ISL_418440_2020_03_20,0.104
hCoV_19pangolinGuangxiP3B2017_EPI_ISL_410543_2017,0.069
hCoV_19pangolinChinaMP7892019_EPI_ISL_412860_2019_03_19,0.065
hCoV_19ChinaWF00092020_EPI_ISL_413696_2020_01,0.141
hCoV_19England201241006022020_EPI_ISL_418738_2020_03_17,0.236
hCoV_19USACA_SCCPHD_UC172020_EPI_ISL_417321_2020_03_08,0.062
hCoV_19Iceland582020_EPI_ISL_417756_2020_03_06,0.057
hCoV_19GuangdongGD2020016_P00112020_EPI_ISL_413885_2020_02_01,0.056
hCoV_19USAWA_S92020_EPI_ISL_416464_2020_03_01,0.073
hCoV_19ChinaWF00172020_EPI_ISL_413747_2020_02,0.195
hCoV_19USANY_NYUMC62020_EPI_ISL_418191_2020_03_16,0.081
hCoV_19England201090389062020_EPI_ISL_417261_2020_03_06,0.049
hCoV_19NetherlandsZuidHolland_232020_EPI_ISL_414565_2020_03_09,0.085
hCoV_19BrazilSPBR_142020_EPI_ISL_416036_2020_03_05,0.331
hCoV_19BelgiumULG_36832020_EPI_ISL_417011_2020_03_07,0.084
hCoV_19ScotlandEDB0112020_EPI_ISL_415637_2020_03_04,0.084
hCoV_19BrazilRJ01142020_EPI_ISL_417951_2020_03_17,0.084
hCoV_19BrazilRJ01152020_EPI_ISL_417953_2020_03_18,0.084
hCoV_19USAWI_GMF_000492020_EPI_ISL_418185_2020_03_18,0.090
hCoV_19USAWA_UW582020_EPI_ISL_415623_2020_03_09,0.186
hCoV_19FranceARA094512020_EPI_ISL_418415_2020_03_15,0.096
hCoV_19Iceland282020_EPI_ISL_417767_2020_03_03,0.082
hCoV_19CanadaON_PHL22942020_EPI_ISL_418384_2020,0.570
hCoV_19USACA_CDPH_UC182020_EPI_ISL_417322_2020_03_04,0.644
hCoV_19USACA_CDPH_UC122020_EPI_ISL_417316_2020_03_11,0.744
hCoV_19USANY_NYUMC92020_EPI_ISL_418194_2020_03_17,0.758
hCoV_19USACA_CDPH_UC252020_EPI_ISL_417329_2020_03_04,0.691
hCoV_19SpainValencia22020_EPI_ISL_414496_2020_03_04,0.749
hCoV_19WalesPHW132020_EPI_ISL_415537_2020_03_08,0.853
hCoV_19NetherlandsNoordBrabant_372020_EPI_ISL_414546_2020_03_06,0.784
hCoV_19Finland14M32020_EPI_ISL_418407_2020_03_14,0.870
hCoV_19Iceland1542020_EPI_ISL_417719_2020_03_13,0.724
hCoV_19Iceland1222020_EPI_ISL_417547_2020_03_17,0.873
hCoV_19Iceland1942020_EPI_ISL_417821_2020_03_16,0.872
hCoV_19USAWA_S42020_EPI_ISL_416459_2020_03_01,0.745
hCoV_19GuangdongGD2020085_P00432020_EPI_ISL_413887_2020_02_01,0.588
hCoV_19GuangdongGDSZ202013_P00142020_EPI_ISL_413865_2020_02_05,0.827
hCoV_19GuangdongZQ_S2_P00612020_EPI_ISL_413901_2020_02_28,0.640
hCoV_19GuangdongZH_N22_P00592020_EPI_ISL_413899_2020_02_28,0.853
hCoV_19BrazilMG01092020_EPI_ISL_417940_2020_03_16,0.782
hCoV_19BrazilSP01112020_EPI_ISL_417945_2020_03_17,0.795
hCoV_19CongoKN_00172020_EPI_ISL_417433_2020_03_11,0.838
hCoV_19BrazilRJ01172020_EPI_ISL_417983_2020_03_19,0.864
hCoV_19Switzerland421750752020_EPI_ISL_418278_2020_03_03,0.870
hCoV_19BrazilRJ01192020_EPI_ISL_417985_2020_03_19,0.795
hCoV_19BrazilSP01102020_EPI_ISL_417943_2020_03_17,0.793
hCoV_19WuhanIVDC_HB_envF542020_EPI_ISL_408512_2020_01_01,0.647
hCoV_19Iceland712020_EPI_ISL_417859_2020_03_08,0.810
hCoV_19Iceland1052020_EPI_ISL_417778_2020_03_10,0.708
hCoV_19USACA_SCCPHD_UC152020_EPI_ISL_417319_2020_03_05,0.653
hCoV_19Iceland432020_EPI_ISL_417686_2020_03_04,0.815
hCoV_19England201090531062020_EPI_ISL_417277_2020_03_07,0.844
hCoV_19England201260033022020_EPI_ISL_418742_2020_03_19,0.871
hCoV_19USACA_SCCPHD_UC132020_EPI_ISL_417317_2020_03_02,0.815
hCoV_19USANY_NYUMC162020_EPI_ISL_418201_2020_03_17,0.702
hCoV_19USANY_NYUMC202020_EPI_ISL_418205_2020_03_12,0.720
hCoV_19USACA_CDPH_UC222020_EPI_ISL_417326_2020_03_04,0.727
hCoV_19CongoKN_00592020_EPI_ISL_417439_2020_03_17,0.788
hCoV_19USACA_CDPH_UC242020_EPI_ISL_417328_2020_03_07,0.822
hCoV_19Iceland2502020_EPI_ISL_417578_2020_03_17,0.875
hCoV_19Iceland1432020_EPI_ISL_417794_2020_03_12,0.610
hCoV_19USAWI_GMF_002272020_EPI_ISL_418186_2020_03_23,0.682
hCoV_19ShandongLY0012020_EPI_ISL_414934_2020_01_21,0.826
hCoV_19USAWA_UW2462020_EPI_ISL_418031_2020_03_16,0.839
hCoV_19USAWA_UW2672020_EPI_ISL_418052_2020_03_16,0.819
hCoV_19ShandongLY0022020_EPI_ISL_414935_2020_01_21,0.899
hCoV_19USANY_NYUMC12020_EPI_ISL_414639_2020_03_04,0.885
hCoV_19CongoKN_00432020_EPI_ISL_417435_2020_03_15,0.883
hCoV_19WalesPHWC_23ADC2020_EPI_ISL_418087_2020_03_12,0.887
hCoV_19ShanghaiSH00482020_EPI_ISL_416356_2020_02_01,0.922
hCoV_19EnglandSHEF_BFE152020_EPI_ISL_418296_2020_03_18,0.896
hCoV_19USAUT_000272020_EPI_ISL_417970_2020_03_24,0.892
hCoV_19NetherlandsNoordBrabant_192020_EPI_ISL_414459_2020_03_06,0.900
hCoV_19ShanghaiSH00852020_EPI_ISL_416385_2020_01_30,0.921
hCoV_19ShanghaiSH00912020_EPI_ISL_416388_2020_02_05,0.916
hCoV_19CongoKN_00512020_EPI_ISL_417436_2020_03_17,0.924
hCoV_19WalesPHWC_23B242020_EPI_ISL_418091_2020_03_12,0.929
hCoV_19GuangdongJM_S1_P00622020_EPI_ISL_413902_2020_02_28,0.928
hCoV_19GuangdongFS_S29_P00512020_EPI_ISL_413891_2020_02_28,0.927
hCoV_19GuangdongDG_S2_P00542020_EPI_ISL_413894_2020_02_28,0.928
hCoV_19GuangdongGD2020227_P00292020_EPI_ISL_413880_2020_02_05,0.929
hCoV_19GuangdongGD2020258_P00182020_EPI_ISL_413878_2020_02_09,0.929
hCoV_19GuangdongGDFS2020056_P00442020_EPI_ISL_413876_2020_02_10,0.929
